"","dataSetName","functionName","nTrainningPoints","compTime","seed","trainAndTestRatio","maxit","learnRate","momentum","networkSize","train.Accuracy","train.Kappa","train.AccuracyLower","train.AccuracyUpper","train.AccuracyNull","train.AccuracyPValue","train.McnemarPValue","train.Sensitivity","train.Specificity","train.Pos.Pred.Value","train.Neg.Pred.Value","train.Precision","train.Recall","train.F1","train.Prevalence","train.Detection.Rate","train.Detection.Prevalence","train.Balanced.Accuracy","train.AUC","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","test.Sensitivity","test.Specificity","test.Pos.Pred.Value","test.Neg.Pred.Value","test.Precision","test.Recall","test.F1","test.Prevalence","test.Detection.Rate","test.Detection.Prevalence","test.Balanced.Accuracy","test.AUC"
"1","5 vs ALL","baseLine","49000","37.5378103256226","1","0.3","25","0.05","0.01","10","0.991489795918367","0.947406523609048","0.990636469022593","0.992284102574196","0.909571428571429","0","4.67971437968698e-15","0.997128048643676","0.934777702550214","0.993539011848871","0.970023419203747","0.993539011848871","0.997128048643676","0.995330294852126","0.909571428571429","0.906959183673469","0.912857142857143","0.965952875596945","0.997834212814255","0.989238095238095","0.932987469984147","0.987748953145482","0.990589365935688","0.910380952380952","0","1.53409082582602e-05","0.995815461868396","0.922422954303932","0.992389491242702","0.955947136563877","0.992389491242702","0.995815461868396","0.994099524828991","0.910380952380952","0.906571428571429","0.91352380952381","0.959119208086164","0.996054510835386"
"2","5 vs ALL","briSelection","8862","6.37020254135132","1","0.3","25","0.05","0.01","10","0.981494019408711","0.962988038817423","0.978468040958416","0.984197247777682","0.5","0","0.937758942818078","0.981719702098849","0.981268336718574","0.981276787728401","0.981711447279296","0.981276787728401","0.981719702098849","0.981498194945848","0.5","0.490859851049425","0.500225682690138","0.981494019408711","0.998322303098219","0.614857142857143","0.190880575062833","0.608236124069696","0.621446351940394","0.910380952380952","1","0","0.579140077413955","0.977683315621679","0.996220982544538","0.186121788387619","0.996220982544538","0.579140077413955","0.732468907118285","0.910380952380952","0.527238095238095","0.529238095238095","0.778411696517817","0.817088476967086"
"3","5 vs ALL","briSelectionPlusPlus","8862","6.59990406036377","1","0.3","25","0.05","0.01","10","0.960844053261115","0.92168810652223","0.956594896717118","0.964786701879304","0.5","0","0.45231607998475","0.959151433085082","0.962536673437147","0.962409420289855","0.959289248762933","0.962409420289855","0.959151433085082","0.960777664745111","0.5","0.479575716542541","0.498307379823968","0.960844053261115","0.992388773602775","0.941904761904762","0.715189459706623","0.938655459221473","0.94503105122029","0.910380952380952","5.62547877896038e-65","6.31836857232583e-196","0.940788785437807","0.953241232731137","0.995131127586589","0.613123718386876","0.995131127586589","0.940788785437807","0.967197246719725","0.910380952380952","0.856476190476191","0.860666666666667","0.947015009084472","0.985406159231014"
"4","5 vs ALL","briSelectionPlusPlusNeg","8862","6.58914828300476","1","0.3","25","0.05","0.01","10","0.96614759647935","0.9322951929587","0.962169366301917","0.969815389016774","0.5","0","0.772829992684448","0.965470548408937","0.966824644549763","0.966779661016949","0.96551724137931","0.966779661016949","0.965470548408937","0.966124661246612","0.5","0.482735274204468","0.499322951929587","0.96614759647935","0.994076504241852","0.951857142857143","0.755209773843855","0.94887487785925","0.954713509697403","0.910380952380952","3.15863008417944e-116","1.23261809030237e-159","0.951145517313526","0.959086078639745","0.995783363452166","0.658999634903249","0.995783363452166","0.951145517313526","0.972952727467294","0.910380952380952","0.865904761904762","0.869571428571429","0.955115797976636","0.989601620074399"
"5","5 vs ALL","briSelectionPlusPlusLog","8862","6.51050925254822","1","0.3","25","0.05","0.01","10","0.961182577296321","0.922365154592643","0.956950071628084","0.965108326963962","0.5","0","0.145463833483965","0.958023019634394","0.964342134958249","0.964115375880082","0.958286611347836","0.964115375880082","0.958023019634394","0.961059542676025","0.5","0.479011509817197","0.496840442338073","0.961182577296321","0.993207974773656","0.952809523809524","0.759286925774225","0.949854459761203","0.955638411478399","0.910380952380952","4.15964294338775e-122","7.319834474303e-157","0.952087038393137","0.960148777895856","0.995896481917164","0.663606316562615","0.995896481917164","0.952087038393137","0.973499130899853","0.910380952380952","0.866761904761905","0.870333333333333","0.956117908144496","0.988703136702657"
"6","5 vs ALL","briSelectionPlusPlusLogNeg","8862","6.77350258827209","1","0.3","25","0.05","0.01","10","0.967276009930038","0.934552019860077","0.963358432774254","0.970882299631661","0.5","0","9.10662347183386e-08","0.977657413676371","0.956894606183706","0.957771390669909","0.977183682876239","0.957771390669909","0.977657413676371","0.967612240339513","0.5","0.488828706838186","0.510381403746333","0.967276009930038","0.994454501101445","0.966095238095238","0.81507391947612","0.963558195890861","0.968502161411319","0.910380952380952","3.73009776700691e-225","5.32528086175088e-83","0.967883669839941","0.947927736450584","0.994731749274272","0.74395329441201","0.994731749274272","0.967883669839941","0.981124072110286","0.910380952380952","0.881142857142857","0.885809523809524","0.957905703145263","0.98997375658684"
"7","0 vs ALL","baseLine","49000","35.4379634857178","1","0.3","25","0.05","0.01","10","0.995551020408163","0.974594245218381","0.994921196182412","0.996120972704821","0.902408163265306","0","3.60495730198777e-05","0.998236012483604","0.970723546633208","0.99683830171635","0.983474576271186","0.99683830171635","0.998236012483604","0.997536667495311","0.902408163265306","0.900816326530612","0.903673469387755","0.984479779558406","0.999352394458549","0.994571428571429","0.969879756818668","0.993482194137085","0.995520072673124","0.899","0","0.00104526752735863","0.997934212617194","0.964639321074965","0.996034892942109","0.981294964028777","0.996034892942109","0.997934212617194","0.996983648198127","0.899","0.897142857142857","0.900714285714286","0.981286766846079","0.998397596904818"
"8","0 vs ALL","briSelection","9564","6.71398282051086","1","0.3","25","0.05","0.01","10","0.994876620660811","0.989753241321623","0.993232212638377","0.996207363483846","0.5","0","0.15312745101967","0.993726474278545","0.996026767043078","0.99601760637183","0.993740872105153","0.99601760637183","0.993726474278545","0.994870721239401","0.5","0.496863237139272","0.498849853617733","0.994876620660811","0.999799278662613","0.874809523809524","0.553223047912707","0.870257875438933","0.879257136435163","0.899","1","0","0.86164521425923","0.991984912776992","0.998956030459347","0.446140797285835","0.998956030459347","0.86164521425923","0.925233910644712","0.899","0.774619047619048","0.775428571428571","0.926815063518111","0.988868463019374"
"9","0 vs ALL","briSelectionPlusPlus","9564","6.83613300323486","1","0.3","25","0.05","0.01","10","0.987139272271016","0.974278544542033","0.984674432131538","0.989300383509677","0.5","0","0.588506355271711","0.987871183605186","0.986407360936847","0.986427229066611","0.987853403141361","0.986427229066611","0.987871183605186","0.987148678299028","0.5","0.493935591802593","0.50073191133417","0.987139272271016","0.998947065716428","0.982142857142857","0.90752960532156","0.980259661851403","0.983890833106638","0.899","0","7.84613609915323e-55","0.982043540441761","0.983026874115983","0.998062015503876","0.860148514851485","0.998062015503876","0.982043540441761","0.989987985582699","0.899","0.882857142857143","0.884571428571429","0.982535207278872","0.997298935359927"
"10","0 vs ALL","briSelectionPlusPlusNeg","9564","7.12159180641174","1","0.3","25","0.05","0.01","10","0.986093684650774","0.972187369301547","0.983540710787952","0.988343913600367","0.5","0","0.862319738389436","0.986407360936847","0.985780008364701","0.985788923719958","0.986398828206738","0.985788923719958","0.986407360936847","0.986098045364273","0.5","0.493203680468423","0.500313676286073","0.986093684650774","0.99901900179486","0.980809523809524","0.901053497893888","0.978862183437498","0.982622098689352","0.899","0","1.34432203102351e-58","0.980719317760475","0.981612446958982","0.997898027379541","0.851185609157809","0.997898027379541","0.980719317760475","0.98923409825555","0.899","0.881666666666667","0.883523809523809","0.981165882359728","0.997445704934617"
